id,last_sale,decimals,payment_token,date
237,47000000000000000000,18,ETH,12/13/2021
238,,,,
239,450000000000000000,18,ETH,05/20/2021
240,69000000000000000000,18,ETH,12/03/2021
241,14970000000000000000,18,ETH,08/16/2021
242,,,,
243,888800000000000000,18,ETH,05/05/2021
244,53000000000000000000,18,WETH,11/18/2021
245,3990000000000000000,18,ETH,06/27/2021
246,750000000000000000,18,ETH,05/01/2021
247,125000000000000000000,18,ETH,01/30/2022
248,2200000000000000000,18,WETH,06/06/2021
249,133333000000000000000,18,ETH,04/02/2022
250,52420690000000000000,18,ETH,11/29/2021
251,844000000000000000,18,ETH,05/29/2021
252,18500000000000000000,18,ETH,07/15/2021
253,76000000000000000000,18,ETH,03/09/2022
254,833000000000000000,18,ETH,05/31/2021
255,,,,
256,41550000000000000000,18,ETH,11/14/2021
257,19300000000000000000,18,ETH,08/02/2021
258,12000000000000000000,18,ETH,07/31/2021
259,95000000000000000000,18,ETH,01/18/2022
260,46500000000000000000,18,ETH,08/30/2021
261,4700000000000000000,18,ETH,07/14/2021
262,3720000000000000000,18,ETH,07/09/2021
263,3630000000000000000,18,ETH,07/06/2021
264,105000000000000000000,18,ETH,08/29/2021
265,24700000000000000000,18,ETH,08/04/2021
266,40000000000000000000,18,ETH,11/09/2021
267,4500000000000000000,18,ETH,07/13/2021
268,120,0,WETH,03/31/2022
269,833000000000000000,18,ETH,05/30/2021
270,60000000000000000000,18,ETH,08/31/2021
271,4500000000000000000,18,ETH,07/12/2021
272,6500000000000000000,18,ETH,07/09/2021
273,,,,
274,37000000000000000000,18,ETH,10/23/2021
275,650000000000000000,18,WETH,05/04/2021
276,15000000000000000000,18,ETH,06/21/2021
277,8000000000000000000,18,ETH,07/17/2021
278,1000000000000000000,18,ETH,06/01/2021
279,33000000000000000000,18,WETH,11/11/2021
280,1290000000000000000,18,ETH,05/31/2021
281,355700000000000000,18,WETH,05/21/2021
282,122500000000000000000,18,ETH,02/01/2022
283,8600000000000000000,18,ETH,07/22/2021
284,375000000000000000,18,WETH,05/21/2021
285,690000000000000000,18,ETH,05/29/2021
286,,,,
287,808000000000000000,18,ETH,05/30/2021
288,12880000000000000000,18,ETH,08/02/2021
289,16600000000000000000,18,ETH,08/04/2021
290,120690000000000000000,18,ETH,01/31/2022
291,,,,
292,,,,
293,6200000000000000000,18,WETH,06/20/2021
294,,,,
295,45000000000000000000,18,ETH,08/29/2021
296,,,,
297,,,,
298,108000000000000000000,18,ETH,03/01/2022
299,85000000000000000000,18,ETH,12/16/2021
300,39696969000000000000,18,ETH,10/12/2021
301,13690000000000000000,18,ETH,08/04/2021
302,49990000000000000000,18,ETH,11/15/2021
303,,,,
304,,,,
305,43880000000000000000,18,ETH,08/28/2021
306,800000000000000000,18,ETH,05/03/2021
307,,,,
308,,,,
309,68000000000000000000,18,ETH,11/15/2021
310,7000000000000000000,18,ETH,07/27/2021
311,,,,
312,79000000000000000000,18,ETH,12/07/2021
313,2129837971075828437,18,ETH,06/06/2021
314,22300000000000000000,18,ETH,08/15/2021
315,67690000000000000000,18,ETH,11/29/2021
316,7000000000000000000,18,ETH,07/30/2021
317,,,,
318,,,,
319,3980000000000000000,18,ETH,06/13/2021
320,120000000000000000000,18,ETH,02/04/2022
321,2890000000000000000,18,ETH,06/07/2021
322,5180000000000000000,18,ETH,06/20/2021
323,330000000000000000,18,ETH,05/02/2021
324,59000000000000000000,18,ETH,10/29/2021
325,8500000000000000000,18,ETH,08/02/2021
326,,,,
327,34000000000000000000,18,ETH,11/04/2021
328,105000000000000000000,18,ETH,03/25/2022
329,535000000000000000,18,ETH,05/03/2021
330,42000000000000000000,18,ETH,10/04/2021
331,42069000000000000000,18,ETH,08/28/2021
332,16000000000000000000,18,ETH,08/17/2021
333,23000000000000000000,18,ETH,08/08/2021
334,40000000000000000000,18,ETH,08/04/2021
335,38000000000000000000,18,WETH,09/10/2021
336,21000000000000000000,18,ETH,08/06/2021
337,170000000000000000000,18,ETH,02/02/2022
338,2940000000000000000,18,WETH,07/05/2021
339,,,,
340,44000000000000000000,18,ETH,08/27/2021
341,,,,
342,16000000000000000000,18,ETH,07/31/2021
343,40280000000000000000,18,ETH,10/11/2021
344,399000000000000000,18,ETH,05/04/2021
345,1925000000000000000,18,ETH,06/11/2021
346,2700000000000000000,18,ETH,06/09/2021
347,360000000000000000,18,WETH,05/21/2021
348,799900000000000000,18,ETH,05/24/2021
349,2700000000000000000,18,ETH,06/17/2021
350,69000000000000000000,18,ETH,08/04/2021
351,39990000000000000000,18,ETH,08/26/2021
352,119000000000000000000,18,ETH,01/31/2022
353,41000000000000000000,18,ETH,11/13/2021
354,41000000000000000000,18,WETH,10/15/2021
355,680000000000000000,18,ETH,05/30/2021
356,,,,
357,45000000000000000000,18,ETH,08/28/2021
358,30000000000000000000,18,ETH,08/06/2021
359,13900000000000000000,18,ETH,08/12/2021
360,970000000000000000,18,ETH,05/15/2021
361,2850000000000000000,18,ETH,06/13/2021
362,7000000000000000000,18,ETH,07/16/2021
363,500000000000000000,18,ETH,05/01/2021
364,105000000000000000000,18,ETH,03/16/2022
365,14900000000000000000,18,ETH,08/13/2021
366,,,,
367,36750000000000000000,18,WETH,09/12/2021
368,7000000000000000000,18,ETH,07/29/2021
369,3600000000000000000,18,ETH,06/24/2021
370,,,,
371,900000000000000000,18,ETH,05/02/2021
372,,,,
373,7000000000000000000,18,ETH,07/13/2021
374,469000000000000000,18,ETH,05/03/2021
375,30304000000000002000,18,WETH,10/17/2021
376,88000000000000000000,18,WETH,03/05/2022
377,1600000000000000000,18,ETH,06/10/2021
378,109000000000000000000,18,ETH,02/08/2022
379,,,,
380,3500000000000000000,18,ETH,07/02/2021
381,7700000000000000000,18,ETH,07/17/2021
382,39900000000000000000,18,ETH,11/14/2021
383,,,,
384,99990000000000000000,18,ETH,10/30/2021
385,700000000000000000,18,ETH,05/30/2021
386,16623875784829458680,18,ETH,06/24/2021
387,104990000000000000000,18,ETH,03/20/2022
388,8000000000000000000,18,ETH,08/03/2021
389,77000000000000000000,18,ETH,03/09/2022
390,429421799521899705,18,ETH,05/25/2021
391,2750000000000000000,18,ETH,06/10/2021
392,460000000000000000,18,WETH,05/03/2021
393,128000000000000000000,18,ETH,03/17/2022
394,,,,
395,,,,
396,,,,
397,200000000000000000,18,ETH,05/01/2021
398,,,,
399,,,,
400,55000000000000000000,18,WETH,12/22/2021
401,640000000000000000,18,ETH,05/27/2021
