id,Background,Earring,Fur,Eyes,Mouth,Clothes,Hat
137,New Punk Blue,,Death Bot,Crazy,Bored,Tanktop,Short Mohawk
138,Orange,Cross,Dark Brown,Bloodshot,Phoneme Vuh,Bayc T Black,Halo
139,Army Green,,Zombie,X Eyes,Bored Unshaven,Puffy Vest,Army Hat
140,Yellow,,Cheetah,Eyepatch,Bored Unshaven,Sailor Shirt,
141,Aquamarine,Silver Hoop,Cream,Closed,Dumbfounded,Hawaiian,
142,Blue,Gold Hoop,Blue,Sleepy,Bored,Black T,Bayc Hat Black
143,Army Green,,Cream,Bored,Bored,Bayc T Red,Beanie
144,Orange,,White,Wide Eyed,Phoneme Vuh,Toga,Fisherman's Hat
145,Orange,,Black,3d,Bored Unshaven,Bone Necklace,Prussian Helmet
146,Gray,,Zombie,Laser Eyes,Phoneme L,Sleeveless Logo T,Faux Hawk
147,Orange,Silver Hoop,Zombie,Bored,Bored,Black Holes T,
148,Aquamarine,Gold Stud,Black,Blindfold,Bored Cigar,Striped Tee,
149,Orange,Silver Hoop,White,3d,Bored Cigarette,,
150,Gray,,Dark Brown,Bored,Bored,Cowboy Shirt,Sushi Chef Headband
151,Gray,,Blue,Blindfold,Bored Unshaven Cigarette,Bone Tee,Seaman's Hat
152,Army Green,Silver Stud,Brown,Sad,Bored,Tanktop,Girl's Hair Pink
153,Orange,,Blue,Bored,Grin,Navy Striped Tee,
154,Army Green,,Golden Brown,Bloodshot,Bored,Toga,Girl's Hair Short
155,Blue,Silver Hoop,Dmt,Sunglasses,Grin,Leather Punk Jacket,Vietnam Era Helmet
156,Orange,,Golden Brown,X Eyes,Bored Unshaven,Tanktop,S&m Hat
157,Army Green,Silver Stud,Dark Brown,Bored,Bored,Navy Striped Tee,
158,Purple,Silver Hoop,Dark Brown,Bored,Bored Unshaven,Black T,
159,Aquamarine,,Zombie,Sad,Bored,,
160,Blue,,Dark Brown,X Eyes,Bored,,Short Mohawk
161,Yellow,,Black,Sad,Grin,,Commie Hat
162,Blue,,Noise,Bloodshot,Jovial,Wool Turtleneck,Spinner Hat
163,Aquamarine,,Zombie,Heart,Bored Unshaven,Striped Tee,Bayc Flipped Brim
164,Yellow,,White,Wide Eyed,Bored,Bone Tee,Fez
165,Purple,,Cream,Robot,Bored Unshaven,Tuxedo Tee,Beanie
166,Army Green,Silver Hoop,Pink,Angry,Phoneme Wah,Black T,Sushi Chef Headband
167,Yellow,Silver Hoop,Black,Coins,Bored,Puffy Vest,Irish Boho
168,Army Green,Silver Hoop,Black,Sad,Phoneme  ooo,Tanktop,Fisherman's Hat
169,Blue,,White,Bored,Dumbfounded,Smoking Jacket,Faux Hawk
170,Army Green,,Cream,Heart,Phoneme  ooo,Guayabera,Sea Captain's Hat
171,Yellow,,Brown,Closed,Bored Unshaven,Service,
172,Yellow,,Black,Bloodshot,Bored Unshaven,,Bayc Flipped Brim
173,Yellow,,Blue,Bored,Bored,Guayabera,Bayc Flipped Brim
174,Aquamarine,Gold Hoop,Pink,Bloodshot,Rage,Black Holes T,Bowler
175,Aquamarine,Silver Hoop,Black,Scumbag,Bored,Service,
176,Yellow,,Black,Coins,Phoneme  ooo,Puffy Vest,Bowler
177,Army Green,,Dark Brown,Heart,Grin,Blue Dress,Sushi Chef Headband
178,Aquamarine,Silver Hoop,Tan,Sleepy,Bored Unshaven,Puffy Vest,Girl's Hair Pink
179,Army Green,,Blue,Sad,Bored,Bayc T Black,Bowler
180,Gray,,Cream,Zombie,Bored Cigarette,Biker Vest,Seaman's Hat
181,Aquamarine,Silver Stud,Dmt,Crazy,Bored,Leather Punk Jacket,
182,Army Green,,Black,Bloodshot,Bored,Lumberjack Shirt,Seaman's Hat
183,Yellow,Gold Stud,Brown,Sleepy,Bored,Bone Tee,
184,Gray,,White,X Eyes,Bored Unshaven,Rainbow Suspenders,Prussian Helmet
185,Orange,,Zombie,Blue Beams,Bored Cigarette,Cowboy Shirt,Fez
186,Gray,,Golden Brown,Closed,Bored,Wool Turtleneck,Army Hat
187,Purple,Silver Hoop,Dmt,Bloodshot,Bored Unshaven,Biker Vest,Halo
188,Gray,Silver Hoop,White,Sleepy,Bored,Prom Dress,Fisherman's Hat
189,Army Green,Cross,White,Closed,Bored Unshaven,,Prussian Helmet
190,Yellow,,Brown,Bored,Bored,,Girl's Hair Short
191,New Punk Blue,,Dark Brown,3d,Bored,,Halo
192,Yellow,,Dark Brown,Bored,Phoneme Vuh,,
193,Gray,,Cream,Laser Eyes,Rage,Bone Necklace,
194,Purple,,Brown,Bloodshot,Dumbfounded,Black T,
195,Blue,Gold Hoop,Zombie,Bored,Bored Cigarette,Work Vest,
196,Gray,Silver Hoop,Death Bot,Bored,Bored Cigarette,,Seaman's Hat
197,Army Green,,Solid Gold,X Eyes,Grin,Bone Necklace,Bayc Hat Red
198,New Punk Blue,Gold Stud,White,Crazy,Discomfort,,Baby's Bonnet
